dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics,Topic diversity(not optimized),Coherence(not optimized)
dataset_name,RF,LCB,22,64.73481178283691,0.537240201763824,0.5399087840260983,0.005337164524548577,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,23,66.43188214302063,0.544202445301259,0.5445373373562762,0.0054101848594472705,5,0.62,-0.38078024672904587
dataset_name,RF,LCB,24,64.94015288352966,0.537240201763824,0.5425773662883726,0.006536664879213998,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,25,68.00198674201965,0.537240201763824,0.5425773662883726,0.006536664879213998,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,26,103.55379033088684,0.5373804057962379,0.5409096167387606,0.005184361300306784,5,0.58,-0.37313386413185284
dataset_name,RF,LCB,27,56.94889783859253,0.537240201763824,0.5425773662883726,0.006536664879213997,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,28,140.64935183525085,0.5395219570315379,0.5404999833193408,0.0018395220734406545,20,0.15,-0.3870401568963059
dataset_name,RF,LCB,29,154.2336220741272,0.5438624519792368,0.5431466758306591,0.0021106937651153195,20,0.16,-0.3888705419972556
dataset_name,RF,LCB,30,176.84776210784912,0.5419592969118169,0.5425358857802737,0.0031879813186418476,20,0.155,-0.3882111635808355
dataset_name,RF,LCB,31,160.15708589553833,0.5412782063760514,0.5418938075823794,0.002230662379859657,20,0.16,-0.38879386375957875
dataset_name,RF,LCB,32,138.86138224601746,0.5408431316058047,0.5412948466906903,0.0014647766976071707,20,0.16,-0.38893209127551914
dataset_name,RF,LCB,33,59.709360122680664,0.5505831130751955,0.5482148955260526,0.004736435098285652,5,0.62,-0.38078024672904587
dataset_name,RF,LCB,34,54.21797800064087,0.537240201763824,0.540476306386515,0.005171526996109331,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,35,54.78481674194336,0.537240201763824,0.5425773662883726,0.006536664879213997,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,36,56.800272941589355,0.537240201763824,0.5413012327335853,0.005367424981327227,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,37,55.931894063949585,0.537240201763824,0.5425773662883726,0.006536664879213998,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,38,52.97064208984375,0.537240201763824,0.538632650471311,0.002784897414974008,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,39,52.6448450088501,0.537240201763824,0.5413012327335853,0.005367424981327227,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,40,55.754252195358276,0.544202445301259,0.5439698149958596,0.0059682648791229385,5,0.58,-0.37955282903334553
dataset_name,RF,LCB,41,56.295857191085815,0.537240201763824,0.538632650471311,0.002784897414974008,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,42,53.42272901535034,0.537240201763824,0.5399087840260983,0.005337164524548577,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,43,53.878779888153076,0.5377862840341044,0.5426865827424286,0.006450572711808299,5,0.58,-0.3798657150945126
dataset_name,RF,LCB,44,51.97342300415039,0.544202445301259,0.5439698149958596,0.0059682648791229385,5,0.58,-0.37955282903334553
